state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_males,percent_graduate_females,,,,
andhra pradesh,Adilabad ,Rural,847801,208837,262235,14684,268525,108204,2778,6,3,,,,
andhra pradesh,Nizamabad ,Rural,870992,187603,271895,18378,281097,130397,4176,7,4,,,,
andhra pradesh,Karimnagar ,Rural,1270037,269398,437198,33671,369460,193981,6698,8,4,,,,
andhra pradesh,Medak ,Rural,966666,236763,315995,21023,305320,108588,3255,7,3,,,,
andhra pradesh,Rangareddy ,Rural,649773,149759,240081,17748,181976,77957,3471,8,5,,,,
andhra pradesh,Mahbubnagar ,Rural,1613518,445378,440184,28707,572096,155860,5880,7,4,,,,
andhra pradesh,Nalgonda ,Rural,1277782,271813,456626,37813,370661,178682,6015,9,4,,,,
andhra pradesh,Warangal ,Rural,1129663,257793,371417,28984,346514,153939,5162,8,4,,,,
andhra pradesh,Khammam ,Rural,1009056,232689,331669,23679,288782,155916,4692,8,4,,,,
andhra pradesh,Srikakulam ,Rural,796232,204039,309703,26220,192028,90462,3461,9,4,,,,
andhra pradesh,Vizianagaram ,Rural,795962,217415,260759,20987,230614,87174,2996,9,4,,,,
andhra pradesh,Visakhapatnam ,Rural,861802,251343,291532,20887,234067,84860,3669,8,5,,,,
andhra pradesh,East Godavari ,Rural,1341779,370854,670577,48094,168004,132344,6146,8,5,,,,
andhra pradesh,West Godavari ,Rural,1275115,266556,626077,41733,179258,203224,6618,7,4,,,,
andhra pradesh,Krishna ,Rural,1141924,231019,492354,32525,212540,206011,6962,7,4,,,,
andhra pradesh,Guntur ,Rural,1527629,335705,562173,42618,390901,238850,7639,8,4,,,,
andhra pradesh,Prakasam ,Rural,1242476,280912,458903,33856,336456,166205,5278,8,4,,,,
andhra pradesh,Sri Potti Sriramulu Nellore ,Rural,816571,190039,358722,24603,159711,108099,4184,7,4,,,,
andhra pradesh,Y.S.R. ,Rural,767509,153180,337628,29309,177864,98837,4472,9,5,,,,
andhra pradesh,Kurnool ,Rural,1372624,336138,437938,29799,438860,159688,4699,7,3,,,,
andhra pradesh,Anantapur ,Rural,1290362,280449,490877,31299,332864,186172,5618,7,4,,,,
andhra pradesh,Chittoor ,Rural,1274176,216148,565105,38550,266077,226846,8347,7,4,,,,
arunachal pradesh ,Tawang,Rural,16923,6180,4784,315,4674,1285,148,7,12,,,,
arunachal pradesh ,West Kameng,Rural,29070,6187,14546,1174,5138,3199,226,9,8,,,,
arunachal pradesh ,East Kameng ,Rural,22162,6084,4838,451,8952,2288,86,10,4,,,,
arunachal pradesh ,Papum Pare ,Rural,23239,3653,11137,1662,4360,4089,434,15,11,,,,
arunachal pradesh ,Upper Subansiri ,Rural,22178,5602,6286,674,7006,3284,128,11,4,,,,
arunachal pradesh ,West Siang ,Rural,34879,7827,11788,1166,9379,5885,292,10,5,,,,
arunachal pradesh ,East Siang ,Rural,25923,4407,10169,1173,5458,5889,428,12,8,,,,
arunachal pradesh ,Upper Siang ,Rural,12380,2990,4093,386,3662,1635,68,10,5,,,,
arunachal pradesh ,Changlang ,Rural,43419,12167,16389,836,10034,4829,215,6,5,,,,
arunachal pradesh ,Tirap,Rural,37557,10413,8791,384,14783,3570,142,5,4,,,,
arunachal pradesh ,Lower Subansiri ,Rural,18619,3071,7963,1172,4025,3560,337,15,10,,,,
arunachal pradesh ,Kurung Kumey ,Rural,23864,6955,4871,494,9231,2807,162,11,6,,,,
arunachal pradesh ,Dibang Valley ,Rural,1819,567,584,90,424,244,27,16,12,,,,
arunachal pradesh ,Lower Dibang Valley ,Rural,16123,3892,6143,552,3840,2248,171,9,8,,,,
arunachal pradesh ,Lohit,Rural,41127,9291,17559,889,8650,5627,286,6,6,,,,
arunachal pradesh ,Anjaw,Rural,8798,2282,3025,243,2754,737,54,9,8,,,,
assam,Kokrajhar ,Rural,235229,72012,111749,4979,29067,22401,679,5,4,,,,
assam,Dhubri ,Rural,444302,191494,202256,11818,31635,18917,1146,6,7,,,,
assam,Goalpara,Rural,227237,71212,118282,5397,14691,23052,929,5,5,,,,
assam,Barpeta ,Rural,393971,146052,203519,15335,22454,21946,2408,8,11,,,,
assam,Morigaon ,Rural,239665,75345,127306,5297,16101,20913,980,5,5,,,,
assam,Nagaon,Rural,620991,175174,363636,16103,35575,46606,3464,5,8,,,,
assam,Sonitpur,Rural,502522,134138,259625,13271,67147,41612,2598,6,7,,,,
assam,Lakhimpur,Rural,254560,45419,154391,12010,23577,31173,2832,8,10,,,,
assam,Dhemaji,Rural,187248,36578,97034,7905,25336,28300,1995,9,8,,,,
assam,Tinsukia,Rural,327769,69865,155496,6366,67629,34779,1800,5,6,,,,
assam,Dibrugarh,Rural,313460,50459,169611,10624,54177,39213,2650,7,7,,,,
assam,Sivasagar,Rural,281802,37198,169308,11878,37011,38285,3754,8,10,,,,
assam,Jorhat,Rural,269159,31682,161367,11722,32914,43196,3210,8,8,,,,
assam,Golaghat ,Rural,301151,47459,173818,8995,39779,40095,2309,6,6,,,,
assam,Karbi Anglong,Rural,229464,59922,115791,3396,30409,23342,711,3,4,,,,
assam,Dima Hasao ,Rural,48239,9855,23891,599,7379,7114,110,3,2,,,,
assam,Cachar ,Rural,377299,63887,252059,8959,30898,30455,1482,4,5,,,,
assam,Karimganj,Rural,261779,46886,182104,5563,15392,17397,828,4,5,,,,
assam,Hailakandi,Rural,151843,32673,97514,3383,11943,9713,416,4,5,,,,
assam,Bongaigaon,Rural,158215,51893,86542,4022,9456,10324,682,5,7,,,,
assam,Chirang,Rural,129725,39499,58331,2073,19322,12573,432,4,4,,,,
assam,Kamrup,Rural,378818,80544,232340,18052,26100,39834,3302,8,9,,,,
assam,Kamrup Metropolitan,Rural,64781,10515,41609,3112,5076,7581,612,8,9,,,,
assam,Nalbari,Rural,175010,32845,120734,11601,7052,14379,1981,10,14,,,,
assam,Baksa,Rural,274439,64083,148462,5894,30495,31399,1097,4,4,,,,
assam,Darrang,Rural,224678,82081,113324,7276,14796,14477,1175,7,9,,,,
assam,Udalguri,Rural,240722,65597,118545,4218,34823,21757,669,4,4,,,,
andaman & nicobar islands ,Nicobars ,Rural,9651,940,7008,599,335,1368,96,9,8,,,,
andaman & nicobar islands ,North  & Middle Andaman ,Rural,30110,3234,22086,1315,996,3794,506,6,14,,,,
andaman & nicobar islands ,South Andaman ,Rural,31907,2949,23663,1561,946,4349,382,7,9,,,,
bihar ,Pashchim Champaran ,Rural,713435,242184,311349,17941,119382,40520,1489,6,4,,,,
bihar ,Purba Champaran,Rural,1042494,378438,465129,29560,146935,51992,2523,7,5,,,,
bihar ,Sheohar ,Rural,131421,52623,58034,4097,14141,6623,373,8,6,,,,
bihar ,Sitamarhi,Rural,707323,290535,314084,23638,73860,28844,2197,8,8,,,,
bihar ,Madhubani,Rural,1036255,303329,484558,53685,179416,68952,4572,12,7,,,,
bihar ,Supaul,Rural,450346,131813,204484,14921,82335,31714,1227,8,4,,,,
bihar ,Araria,Rural,653981,241600,259508,14232,114565,38308,1116,6,3,,,,
bihar ,Kishanganj,Rural,342315,143482,155168,5417,31457,12208,324,4,3,,,,
bihar ,Purnia,Rural,698007,283063,250334,15130,124844,39766,1283,7,4,,,,
bihar ,Katihar,Rural,604540,266786,233415,13465,76440,27899,1247,6,5,,,,
bihar ,Madhepura,Rural,422178,152124,165069,15344,78867,26118,1425,10,6,,,,
bihar ,Saharsa,Rural,331267,123005,145340,15040,46935,15987,1300,11,9,,,,
bihar ,Darbhanga,Rural,648140,224203,321427,33588,72877,29633,2543,11,9,,,,
bihar ,Muzaffarpur,Rural,799583,238781,425030,36655,82636,53136,4625,9,9,,,,
bihar ,Gopalganj,Rural,331700,82440,190955,15159,34922,23383,2035,8,9,,,,
bihar ,Siwan,Rural,424249,90049,278166,23773,30695,25339,2718,9,11,,,,
bihar ,Saran,Rural,478775,113873,302302,31004,36764,25836,2772,11,11,,,,
bihar ,Vaishali,Rural,664562,178319,398192,34180,50368,37683,3464,9,10,,,,
bihar ,Samastipur,Rural,871838,271010,470010,43012,86349,44469,4253,10,10,,,,
bihar ,Begusarai ,Rural,471889,140697,247313,22192,51555,32324,2569,9,8,,,,
bihar ,Khagaria,Rural,287022,100520,134539,10439,32608,19355,1056,8,6,,,,
bihar ,Bhagalpur ,Rural,396991,126895,205570,23888,38299,26227,2197,12,9,,,,
bihar ,Banka,Rural,358505,109089,172098,12631,51241,26077,1126,8,5,,,,
bihar ,Munger,Rural,158430,40005,92132,9776,15313,10980,740,11,7,,,,
bihar ,Lakhisarai,Rural,171380,50363,86291,6493,23166,11560,706,8,7,,,,
bihar ,Sheikhpura,Rural,125966,31335,59228,4366,23919,11484,378,8,4,,,,
bihar ,Nalanda,Rural,631235,147024,308619,33124,117234,58358,3528,11,7,,,,
bihar ,Patna,Rural,767098,191728,409356,47927,109766,56248,3392,12,7,,,,
bihar ,Bhojpur,Rural,433605,78521,285996,29527,38678,30410,1923,11,7,,,,
bihar ,Buxar,Rural,292115,58851,187853,21146,27105,18306,1501,12,9,,,,
bihar ,Kaimur (Bhabua),Rural,272375,57055,166900,19030,28085,20335,1666,12,9,,,,
bihar ,Rohtas,Rural,453866,78571,307823,40596,33376,34096,3415,14,11,,,,
bihar ,Aurangabad,Rural,432194,83878,257424,25850,52345,38547,2030,11,6,,,,
bihar ,Gaya,Rural,876343,215594,410565,32235,167909,82275,2999,8,4,,,,
bihar ,Nawada,Rural,460770,124880,210653,16542,87916,37321,1395,8,4,,,,
bihar ,Jamui,Rural,410815,107727,173646,8743,95067,34375,710,6,3,,,,
bihar ,Jehanabad,Rural,224865,50550,126758,14218,31302,16255,1119,12,7,,,,
bihar ,Arwal,Rural,150712,30779,86491,8653,21206,12236,609,11,5,,,,
chandigarh,Chandigarh,Rural,11683,1684,8672,925,595,732,169,11,24,,,,
chhattisgarh,Koriya,Rural,120874,24799,59452,3392,21592,15031,738,6,5,,,,
chhattisgarh,Surguja,Rural,555416,169017,235457,15102,100317,50625,3670,7,8,,,,
chhattisgarh,Jashpur,Rural,270280,54134,127908,8629,47746,40492,2365,7,6,,,,
chhattisgarh,Raigarh,Rural,408438,62836,227875,16247,64245,53482,2180,8,5,,,,
chhattisgarh,Korba,Rural,220266,41624,109046,7227,44165,25431,1070,7,5,,,,
chhattisgarh,Janjgir - Champa,Rural,393415,52285,213668,17404,72946,54516,2432,9,5,,,,
chhattisgarh,Bilaspur,Rural,611181,105101,284318,20576,143183,78579,2791,8,4,,,,
chhattisgarh,Kabeerdham,Rural,288729,58337,103894,4940,89632,36866,758,5,3,,,,
chhattisgarh,Rajnandgaon,Rural,502733,54646,236023,11214,95562,116502,1893,5,2,,,,
chhattisgarh,Durg,Rural,796819,82739,392446,19936,148960,172674,3142,6,2,,,,
chhattisgarh,Raipur,Rural,771585,104997,391486,25415,150664,124438,3925,7,4,,,,
chhattisgarh,Mahasamund,Rural,301664,45221,155120,9969,57273,44050,1288,7,3,,,,
chhattisgarh,Dhamtari,Rural,283054,25261,139703,7956,48672,69418,1256,6,2,,,,
chhattisgarh,Uttar Bastar Kanker,Rural,260693,43480,118280,6229,53318,45615,1145,6,3,,,,
chhattisgarh,Bastar,Rural,331587,118101,121348,6218,68077,24061,1584,6,7,,,,
chhattisgarh,Narayanpur,Rural,35296,13866,8801,598,10393,2236,115,7,6,,,,
chhattisgarh,Dakshin Bastar Dantewada,Rural,153461,64194,31192,2062,50643,7432,522,7,8,,,,
chhattisgarh,Bijapur,Rural,60603,22376,15725,1390,18659,3843,255,9,7,,,,
dadra & nagar haveli,Dadra & Nagar HavelI,Rural,62188,14467,33702,1316,9225,4794,100,4,3,,,,
daman & diu,Diu,Rural,7943,1243,5530,324,659,511,29,6,6,,,,
daman & diu,Daman,Rural,13492,884,10474,453,512,1622,61,5,4,,,,
nct of delhi,North West,Rural,61943,8645,44656,4928,4153,4489,815,12,19,,,,
nct of delhi,North,Rural,5052,339,4123,641,201,389,70,16,18,,,,
nct of delhi,North East,Rural,5773,885,4493,510,160,235,32,12,14,,,,
nct of delhi,East,Rural,1316,42,1001,528,10,263,171,53,66,,,,
nct of delhi,West,Rural,1680,155,1347,123,56,122,31,10,26,,,,
nct of delhi,South West,Rural,39210,2647,32172,4627,1297,3094,763,15,25,,,,
nct of delhi,South,Rural,3906,616,2734,432,241,315,93,16,30,,,,
odisha ,Bargarh,Rural,427073,63780,269461,14049,43647,50185,1284,6,3,,,,
odisha ,Jharsuguda,Rural,103260,13544,64650,3338,10273,14793,534,6,4,,,,
odisha ,Sambalpur,Rural,238726,33625,129867,7602,33028,42206,1205,6,3,,,,
odisha ,Debagarh,Rural,77208,11208,43515,2569,9950,12535,438,6,4,,,,
odisha ,Sundargarh,Rural,316310,69576,175691,7985,34920,36123,1975,5,6,,,,
odisha ,Kendujhar,Rural,368807,73389,226061,16344,39435,29922,1780,8,6,,,,
odisha ,Mayurbhanj,Rural,493208,115331,247239,17184,80286,50352,2857,7,6,,,,
odisha ,Baleshwar,Rural,544779,71758,404978,33327,30321,37722,3976,9,11,,,,
odisha ,Bhadrak,Rural,282199,27405,234756,18787,5497,14541,1984,9,14,,,,
odisha ,Kendrapara,Rural,298904,24959,249626,20371,5329,18990,2684,9,15,,,,
odisha ,Jagatsinghapur,Rural,255514,16880,208346,19098,8119,22169,2701,10,13,,,,
odisha ,Cuttack,Rural,477807,44740,383588,34653,15689,33790,4465,10,14,,,,
odisha ,Jajapur,Rural,372709,51148,292908,25833,9505,19148,2936,9,16,,,,
odisha ,Dhenkanal,Rural,246372,34126,183760,11552,12091,16395,1561,7,10,,,,
odisha ,Anugul,Rural,257646,33457,172581,10912,22209,29399,1605,7,6,,,,
odisha ,Nayagarh,Rural,208317,24963,164123,9149,6823,12408,955,6,8,,,,
odisha ,Khordha,Rural,292441,28576,233610,20987,10388,19867,2616,9,14,,,,
odisha ,Puri,Rural,366726,30198,298268,22015,10900,27360,3133,8,12,,,,
odisha ,Ganjam,Rural,676928,133932,399069,14775,86861,57066,2085,4,4,,,,
odisha ,Gajapati,Rural,149353,46104,49121,1750,41274,12854,361,4,3,,,,
odisha ,Kandhamal,Rural,146129,31910,74677,2851,24471,15071,551,4,4,,,,
odisha ,Baudh,Rural,117108,17780,69358,2141,15821,14149,242,4,2,,,,
odisha ,Subarnapur,Rural,155322,22879,100575,4821,15215,16653,490,5,3,,,,
odisha ,Balangir,Rural,346269,85926,199694,8471,37161,23488,952,5,5,,,,
odisha ,Nuapada,Rural,141648,39628,69152,2875,22184,10684,402,5,4,,,,
odisha ,Kalahandi,Rural,340850,92645,177438,7200,49609,21158,705,5,4,,,,
odisha ,Rayagada,Rural,184065,66001,63656,2575,42215,12193,408,5,4,,,,
odisha ,Nabarangapur,Rural,254500,109167,98809,1833,35766,10758,317,2,3,,,,
odisha ,Koraput,Rural,322792,120875,106945,3173,77359,17613,544,3,4,,,,
odisha ,Malkangiri,Rural,163217,62206,57014,1330,34955,9042,224,3,3,,,,
puducherry,Puducherry,Rural,93232,9743,58072,5221,10297,15120,1290,9,9,,,,
puducherry,Karaikal,Rural,28496,1651,20926,1940,1684,4235,690,10,17,,,,
punjab,Gurdaspur,Rural,424157,80127,292928,11923,16150,34952,4071,5,12,,,,
punjab,Kapurthala,Rural,155843,30972,103933,4578,7528,13410,1527,5,12,,,,
punjab,Jalandhar,Rural,302752,49917,211766,10292,13392,27677,3023,5,11,,,,
punjab,Hoshiarpur,Rural,311042,33318,235801,12804,10984,30939,4358,6,15,,,,
punjab,Shahid Bhagat Singh Nagar,Rural,136057,18218,100112,4373,5544,12183,1319,5,11,,,,
punjab,Fatehgarh Sahib,Rural,131090,22285,90850,4296,5228,12727,1162,5,10,,,,
punjab,Ludhiana,Rural,455642,73258,305633,15115,22593,54158,5777,5,11,,,,
punjab,Moga,Rural,229705,63568,133851,3757,13571,18715,1573,3,9,,,,
punjab,Firozpur,Rural,441627,129782,258233,9770,28716,24896,1799,4,8,,,,
punjab,Muktsar,Rural,208410,69543,115057,5011,13839,9971,914,5,10,,,,
punjab,Faridkot,Rural,121498,38732,69743,2682,6213,6810,790,4,12,,,,
punjab,Bathinda,Rural,291812,93785,157569,5432,20188,20270,1544,4,8,,,,
punjab,Mansa,Rural,197176,72017,92767,3065,18107,14285,1061,4,8,,,,
punjab,Patiala,Rural,325986,85100,205329,9852,16359,19198,2121,5,12,,,,
punjab,Amritsar,Rural,349544,97494,195867,5530,26732,29451,2201,3,8,,,,
punjab,Tarn Taran,Rural,274064,80043,155795,4141,17742,20484,1500,3,8,,,,
punjab,Rupnagar,Rural,142135,15793,102155,4960,6631,17556,1689,5,10,,,,
punjab,Sahibzada Ajit Singh Nagar,Rural,140117,19989,97181,3926,7669,15278,991,5,7,,,,
punjab,Sangrur,Rural,341626,109244,195175,8422,16918,20289,2157,5,11,,,,
punjab,Barnala,Rural,124566,41499,68651,1883,6412,8004,734,3,10,,,,
goa,North Goa ,Rural,95900,3590,68897,6731,2882,20531,3872,10,19,,,,
goa,South Goa,Rural,70088,4699,45923,3823,4179,15287,2461,9,17,,,,
gujarat,Kachchh,Rural,448803,111068,272378,10330,38616,26741,965,4,4,,,,
gujarat,Banas Kantha,Rural,892368,204698,468361,14247,152592,66717,726,4,2,,,,
gujarat,Patan,Rural,362876,66697,214363,5576,46226,35590,461,3,2,,,,
gujarat,Mahesana,Rural,545651,46169,372260,20245,45166,82056,2110,6,3,,,,
gujarat,Sabar Kantha,Rural,689095,89379,420435,26362,86559,92722,3081,7,4,,,,
gujarat,Gandhinagar,Rural,270308,21417,195595,10570,18923,34373,1039,6,4,,,,
gujarat,Ahmadabad,Rural,374878,62217,249616,8201,33736,29309,585,4,2,,,,
gujarat,Surendranagar,Rural,431510,84419,249793,6042,55555,41743,412,3,1,,,,
gujarat,Rajkot,Rural,606199,87376,378962,11048,56306,83555,1794,3,3,,,,
gujarat,Jamnagar,Rural,422021,84251,256566,6681,38386,42818,898,3,3,,,,
gujarat,Porbandar,Rural,106918,20066,64448,1765,10391,12013,222,3,2,,,,
gujarat,Junagadh,Rural,667961,108981,408260,18528,71072,79648,2529,5,4,,,,
gujarat,Amreli,Rural,409882,73572,247812,5921,41476,47022,967,3,3,,,,
gujarat,Bhavnagar,Rural,609410,101297,356433,6053,78414,73266,592,2,1,,,,
gujarat,Anand,Rural,495351,39577,363994,16315,34443,57337,1346,5,3,,,,
gujarat,Kheda,Rural,568969,45830,415796,13921,37530,69813,1069,4,2,,,,
gujarat,Panch Mahals,Rural,591265,116596,361903,11446,63869,48897,1139,4,3,,,,
gujarat,Dohad,Rural,499970,162917,208479,7209,94900,33674,916,4,3,,,,
gujarat,Vadodara,Rural,712317,151183,415907,12666,82850,62377,931,4,2,,,,
gujarat,Narmada,Rural,176539,32261,94712,2849,26545,23021,363,4,2,,,,
gujarat,Bharuch,Rural,363602,50642,230713,8330,40313,41934,1070,4,3,,,,
gujarat,The Dangs,Rural,81533,11337,37470,837,14823,17903,255,3,2,,,,
gujarat,Navsari,Rural,365015,40341,216247,11655,38468,69959,3540,6,6,,,,
